date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:38	1459/1459	---M-Z	200	added ('OK')	text/plain	etag:W/%22912d81a514dfca37f093026bd34657e3%22	https://www.holmdelschools.org/robots.txt		(from )
18:29:38	94603/94603	---MCZ	200	added ('OK')	text/html	etag:W/%2235d7b8c3a77bc95ec9b7f7f648144c1d%22	https://www.holmdelschools.org/	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/index.html	(from )
18:29:40	383964/383964	---M-Z	200	added ('OK')	text/css	date:Fri,%2025%20Oct%202019%2017:21:28%20GMT	http://static.finalsite.net/assets/application-906af0862a71ce2c5025c9274f5de0d3a6062aab01ccd68b52e78eae06801646.css	C:/Users/dale/Desktop/cad/website/static.finalsite.net/assets/application-906af0862a71ce2c5025c9274f5de0d3a6062aab01ccd68b52e78eae06801646.css	(from https://www.holmdelschools.org/)
18:29:40	1001/1001	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202019%2022:29:40%20GMT	https://www.holmdelschools.org/styles.cfm?b	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/styles92eb.css	(from https://www.holmdelschools.org/)
18:29:40	32988/32988	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22202670e7c120d31:0%22	https://www.holmdelschools.org/uploaded/favicon.ico	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/uploaded/favicon.ico	(from https://www.holmdelschools.org/)
18:29:40	171159/171159	---MCZ	200	added ('OK')	text/css	etag:W/%2292c6867260bdd41:0%22	https://www.holmdelschools.org/uploaded/themes/madison/css/main.css?1541781981	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/uploaded/themes/madison/css/maine35c.css	(from https://www.holmdelschools.org/)
18:29:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Oct%202019%2022:29:44%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/dale/Desktop/cad/website/www.googletagmanager.com/gtm.55445.delayed	(from https://www.holmdelschools.org/)
18:29:43	127028/127028	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2019%20Apr%202019%2018:43:57%20GMT	http://static.finalsite.net/assets/in_layout_head-49a75163b68835cb4e0be81700e5027338e69a26cfafb834887c08dd9fb22057.js	C:/Users/dale/Desktop/cad/website/static.finalsite.net/assets/in_layout_head-49a75163b68835cb4e0be81700e5027338e69a26cfafb834887c08dd9fb22057.js	(from https://www.holmdelschools.org/)
18:29:44	39711/39711	---MCZ	200	added ('OK')	text/html	etag:W/%228ee24e87958d87c2b3dde82e4dba54db%22	https://www.holmdelschools.org/district/a-continuum-of-schools	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/a-continuum-of-schools.html	(from https://www.holmdelschools.org/)
18:29:45	67928/67928	---MCZ	200	added ('OK')	text/html	etag:W/%22ba228726d678de372c1e38972e972c4b%22	https://www.holmdelschools.org/district	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district.html	(from https://www.holmdelschools.org/)
18:29:45	77721/77721	---MCZ	200	added ('OK')	text/html	etag:W/%22051ecfb72daf97fccae9d1707d9df11d%22	https://www.holmdelschools.org/district/aspirations-for-teaching-and-learning	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/aspirations-for-teaching-and-learning.html	(from https://www.holmdelschools.org/)
18:29:46	63311/63311	---MCZ	200	added ('OK')	text/html	etag:W/%22bc568b58a9f0b8190481c6a6385624be%22	https://www.holmdelschools.org/district/aspirations-for-teaching-and-learning/health-and-physical-education	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/aspirations-for-teaching-and-learning/health-and-physical-education.html	(from https://www.holmdelschools.org/)
18:29:46	63645/63645	---MCZ	200	added ('OK')	text/html	etag:W/%22b5cec523422c2e243310d1047e102a2b%22	https://www.holmdelschools.org/district/aspirations-for-teaching-and-learning/technology-engineering-and-media-centers	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/aspirations-for-teaching-and-learning/technology-engineering-and-media-centers.html	(from https://www.holmdelschools.org/)
18:29:47	88514/88514	---MCZ	200	added ('OK')	text/html	etag:W/%22baa1e4693c19aff3722b82bff92c906f%22	https://www.holmdelschools.org/district/accomplishments-and-other-news	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/accomplishments-and-other-news.html	(from https://www.holmdelschools.org/)
18:29:48	62682/62682	---MCZ	200	added ('OK')	text/html	etag:W/%2230b510cd18cd64f0e0620d3a185b2741%22	https://www.holmdelschools.org/district/central-office	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/central-office.html	(from https://www.holmdelschools.org/)
18:29:48	60796/60796	---MCZ	200	added ('OK')	text/html	etag:W/%2232e6e034ea96d35de7e7b630a3418199%22	https://www.holmdelschools.org/district/faculty-and-staff-directory	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/faculty-and-staff-directory.html	(from https://www.holmdelschools.org/)
18:29:49	94855/94855	---MCZ	200	added ('OK')	text/html	etag:W/%22c1b13ca1e8d56163cd6028f2546ced90%22	https://www.holmdelschools.org/schools/village-school-p-3/staff-directory	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/schools/village-school-p-3/staff-directory.html	(from https://www.holmdelschools.org/)
18:29:50	92764/92764	---MCZ	200	added ('OK')	text/html	etag:W/%229aafd52fc1fff587f750d5f6fee07bf4%22	https://www.holmdelschools.org/schools/indian-hill-school-4-6/staff-directory	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/schools/indian-hill-school-4-6/staff-directory.html	(from https://www.holmdelschools.org/)
18:29:50	89612/89612	---MCZ	200	added ('OK')	text/html	etag:W/%227325dffedfbfe1373a85815d6e91a16a%22	https://www.holmdelschools.org/schools/wr-satz-school-7-8/staff-directory	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/schools/wr-satz-school-7-8/staff-directory.html	(from https://www.holmdelschools.org/)
18:29:51	96964/96964	---MCZ	200	added ('OK')	text/html	etag:W/%22d07573c674d4cafe14ed1b658ba2a1c0%22	https://www.holmdelschools.org/schools/holmdel-high-school-9-12/staff-directory	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/schools/holmdel-high-school-9-12/staff-directory.html	(from https://www.holmdelschools.org/)
18:29:52	105/105	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Oct%202019%2022:29:53%20GMT	http://www.holmdelschools.org/calendar	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/calendar.13.delayed	(from https://www.holmdelschools.org/)
18:29:52	61820/61820	---MCZ	200	added ('OK')	text/html	etag:W/%22210dacf1bbbc15a3ac16df6c0b574689%22	https://www.holmdelschools.org/district/district-calendar-clone	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/district-calendar-clone.html	(from https://www.holmdelschools.org/)
18:29:53	59889/59889	---MCZ	200	added ('OK')	text/html	etag:W/%2296aad3d20bdd5cb8bf66ca086591dde3%22	https://www.holmdelschools.org/calendar	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/calendar.html	(from https://www.holmdelschools.org/)
18:29:54	62330/62330	---MCZ	200	added ('OK')	text/html	etag:W/%222f8cbbfec6c249ea4b96ea089fbe6e69%22	https://www.holmdelschools.org/district/testing-calendar	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/testing-calendar.html	(from https://www.holmdelschools.org/)
18:29:54	67138/67138	---MCZ	200	added ('OK')	text/html	etag:W/%2291ebe8f9b1bb7cff86be0462032e3230%22	https://www.holmdelschools.org/district/emergency-closing-info	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/emergency-closing-info.html	(from https://www.holmdelschools.org/)
18:29:55	66527/66527	---MCZ	200	added ('OK')	text/html	etag:W/%22b2085d3caf101ebf7e945682998acd85%22	https://www.holmdelschools.org/district/harassment-intimidation-and-bullying	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/district/harassment-intimidation-and-bullying.html	(from https://www.holmdelschools.org/)
18:29:56	67130/67130	---MCZ	200	added ('OK')	text/html	etag:W/%22d4cd40a9c23513a0c11b810cebc9a052%22	https://www.holmdelschools.org/departments/building-grounds	C:/Users/dale/Desktop/cad/website/www.holmdelschools.org/departments/building-grounds.html	(from https://www.holmdelschools.org/)
